"","population","overallscore","goal1","goal2","goal3","goal4","goal5","goal6","goal7","goal8","goal9","goal10","goal11","goal12","goal13","goal15","goal16","goal17","unemployment.rate","GDPpercapita","MilitaryExpenditurePercentGDP","internet.usage","pf_law","pf_security","pf_movement","pf_religion","pf_assembly","pf_expression","pf_identity","ef_government","ef_legal","ef_money","ef_trade","ef_regulation"
"2380",66067056,68.3,95.8,60.2,70.7,91.5,67.3,73.8,63.5,75.9,27.4,44.1,80.3,80.5,84.3,62.6,60,60.2,0.0122,3343.78593219363,1.1011616129091,0.17160715,5.39442912727934,6.20766994499016,8.1075,8.33041666666667,6.15520833333333,6.26741111111111,9.375,7.54884425269563,5.6443741562991,6.95604462165855,6.46210683865351,7.08671626545907
"2381",66571994,69,95.8,61.2,71,91.2,69.3,73.9,62.8,75.9,27.7,53.5,81.4,80.3,84.1,62.6,60.2,59.4,0.0118,3934.69095574016,1.33969745170473,0.2003,5.46792541186442,6.28874332079758,8.15083333333333,8.41916666666667,5.62803240740741,6.29427777777778,9.375,7.31192863410201,5.65771532484256,7.20333867664299,6.39938776859998,7.04441231330925
"2382",67081513,68.9,95.8,61.3,71.3,90.9,69.6,74.1,64.1,75.9,27.7,51.2,78.7,80.3,84.3,62.7,60.4,60,0.0118,4327.79751701197,1.53268865982228,0.182,5.53828401181466,6.67266544431931,8.16333333333333,8.44354166666667,6.57324074074074,6.09768961030048,9.375,7.45451545751335,5.55359615392518,7.06077910367406,6.6154122900978,7.07898452002458
"2383",67574966,69.3,95.8,60.4,71.7,91.1,70.9,74.3,65.5,75.7,28.2,54.2,81.8,80.2,83.9,62.9,60.3,59.5,0.0149,4154.18743212391,1.70375530197551,0.201,5.53828401181466,6.70619957418328,8.16333333333333,8.44354166666667,6.40666666666667,6.00696738807826,9.375,7.14549643248034,5.32975856875708,7.21239347511923,6.49570028732134,7.01055056997557
"2384",68052341,69.7,95.8,60.6,75.2,90.4,71.2,74.5,65.9,76.2,28.7,54.9,83.6,79.8,83.4,62.7,59.8,60,0.0062,4996.37209760091,1.45480832875808,0.224,5.48102472247876,7.03488948704938,8.16333333333333,8.44354166666667,6.23104166666667,5.70548736809281,9.375,7.20109959216058,5.07933425583422,7.10045961152813,6.43017803517877,7.10328567477119
"2385",68488638,70.8,97.4,61.5,76.1,90.9,72.4,74.7,66.3,76.1,29.5,63,84,79.7,82.4,62.6,62.1,63.2,0.0066,5396.64352674112,1.48670410042287,0.23669926,5.56053505098937,7.05999491771145,8.16333333333333,8.55354166666667,7.16884259259259,5.89313794506388,9.375,7.29793354379876,4.93000155949015,6.98563352873213,6.454798157295,7.08488503063106
"2386",68937054,69.9,97,60.1,75.8,90.2,70.5,74.9,67.3,76.2,31,55.6,82.6,79.5,80.9,62.5,62.1,60.4,0.0058,5748.63278226959,1.38141132916588,0.2646,4.722222858468,6.67326510252045,8.16333333333333,8.55354166666667,7.33321759259259,6.33551962802934,9.375,7.34057960986215,4.86553965791422,6.96918394844087,6.49007082107966,7.07059397788061
"2387",69376992,70.7,97.8,59.9,76.1,91.8,69.8,75.1,67.2,76.2,37.5,62.1,81.5,79.5,80.3,62.4,59.8,62,0.0025,6041.13401347979,1.4039567766839,0.2894,4.10321431702639,7.05004453557206,7.99291666666667,8.51416666666667,6.72699074074074,5.98644171256343,8.125,7.2887573451109,4.79562530019893,6.98090327651403,6.34200792975872,7.06443609463356
"2388",69780213,71.6,97.9,60.6,78,91.6,64.9,75.2,68.2,77,44.6,65.2,81.2,79.8,81.4,62.3,64.4,61.7,0.0058,5822.37772319938,1.40663602187281,0.3489,4.34665743409028,6.75123130137456,7.7125,8.37979166666667,3.53574074074074,4.14355145900832,8.125,7.35600164327724,4.73265334722239,7.02230533495405,6.68706661512233,6.90696623374262
"2389",70141673,72.4,98.4,60,77.8,91.5,65.1,75.4,68,77.6,46.9,68.9,85.5,80.1,81.4,62.1,66.5,62.3,0.006,5708.79414662172,1.42658030230776,0.39316128,4.28636494687223,7.42967769870912,7.71875,8.49354166666667,2.5980787037037,3.56569471373714,8.125,6.89356865319839,5.08140009814653,8.40982436300575,6.68496657965758,6.93223869332251
